415_2,415_4,415_6,415_8,415_10,415_12,415_14,415_16,415_17,415_18,415_19,415_20,415_21,415_22,415_23,415_24,415_25,415_26,415_27,415_28,415_29,415_30,415_31,415_32,415_33,415_34
GABARAPL1,DDIT3,FDXR,POLL,DDIT4,JUNB,ORAI3,STARD7,ITGA3,PHLDA2,AC002460.2,ABCD1P5,AC006148.1,ABHD5,AC003686.1,AC007656.2,AC006971.1,AC004233.4,ABI3BP,ABCG8,AC002331.1,,,,,
AC016876.2,DDIT4,AP1S1,SH3BGRL3,ORAI3,ARPIN,UNC50,HUS1,SPHK1,GPSM3,AC004221.1,ABCG1,AC006450.3,ABHD10,AC004231.4,AC008571.2,AC007375.2,AC004485.1,ABLIM2,ABHD12B,AC002428.2,,,,,
DNTTIP2,TTYH2,MIR22HG,UPP1,UNC50,VPS39,ORAI1,DNAAF5,KRTAP19-1,IER3,AC004264.1,ABCG8,AC006453.1,ABHD12,AC004381.3,AC008708.1,AC007405.1,AC004917.1,ABLIM3,ABHD17AP7,AC002519.2,,,,,
HDHD3,S100A13,PIP4K2A,SEPHS2,AC098614.2,IER3,TXNIP,ZNF12,SHISA4,FTLP3,AC004528.1,ABHD12B,AC006453.4,ABHD13,AC004485.1,AC008750.2,AC007656.1,AC004944.1,ABO,ABHD17AP9,AC003044.1,,,,,
SCAMP3,BMF,JUNB,TNS2,ORAI1,GSTK1,ATF5,PRKAB1,BTN3A3,ITGA3,AC004637.1,ABHD17AP5,AC006486.1,ABHD14A-ACY1,AC004816.2,AC009264.1,AC007656.2,AC005064.1,AC000124.1,ABI3BP,AC003087.1,,,,,
EML3,S100A11,IER2,VPS39,TXNIP,IAH1,PLBD2,EML2,NEAT1,SPHK1,AC004790.2,ABLIM2,AC006487.2,ABHD14B,AC004917.1,AC009299.2,AC008481.3,AC005144.1,AC002070.1,ABLIM2,AC003686.1,,,,,
SCAMP2,PLK3,VPS39,ABCC2,ATF5,HUS1,UNC119B,EML3,SLC7A4,TPM2,AC004882.1,ABO,AC006971.1,ABL1,AC005064.1,AC009387.1,AC008571.2,AC005224.1,AC002090.1,ABLIM3,AC003687.1,,,,,
MYL6,NMB,DDX17,BTN3A1,PLBD2,DNAAF5,SAR1B,EID1,DLGAP1-AS2,KRTAP19-1,AC004882.2,ABR,AC007375.2,ABLIM2,AC005144.1,AC009623.1,AC008708.1,AC005224.3,AC002101.1,ABO,AC003965.2,,,,,
ZFYVE16,GADD45B,EXOC3-AS1,CHPF2,UNC119B,ZNF12,SHMT1,DDIT3,DDIT3,SHISA4,AC004923.1,ABTB2,AC007405.1,ABO,AC005176.2,AC009899.1,AC008750.2,AC005301.2,AC002128.1,AC000124.1,AC004014.1,,,,,
SCO2,GADD45A,TSPYL2,ITGA3,SAR1A,PRKAB1,TPRG1L,DDIT4,AC005229.4,TAP1,AC005064.1,AC000050.2,AC007656.1,ABRAXAS1,AC005224.1,AC010325.1,AC008750.6,AC005498.2,AC002331.1,AC002070.1,AC004125.1,,,,,
DDIT3,CAV1,GSTK1,KRTAP19-1,SAR1B,EML2,ZC3HAV1,ORAI3,AC022107.1,NEAT1,AC005224.1,AC000095.1,AC007656.2,ABTB2,AC005224.3,AC010624.5,AC009236.2,AC005518.1,AC002428.1,AC002090.1,AC004147.2,,,,,
ETHE1,PLK2,GABARAPL1,SHISA4,SHMT1,EML3,CIAO1,PSME4,DDIT4,PNMA6B,AC005224.3,AC002070.1,AC008481.3,AC000124.1,AC005244.2,AC010729.2,AC009264.1,AC005537.1,AC002428.2,AC002091.1,AC004147.4,,,,,
PSME3,EPHX1,DAPK3,BTN3A3,TPRG1L,EID1,RNF213,UNC50,EEF1A2,HLA-E,AC005256.1,AC002094.4,AC008543.5,AC002090.1,AC005301.1,AC011474.1,AC009299.2,AC005597.1,AC002460.2,AC002094.1,AC004231.4,,,,,
DDIT4,HSPA6,WDR73,RUSF1,BAZ2A,MTHFD2,RDH10,TXNIP,IRF7,H2BC12,AC005258.1,AC002101.1,AC008571.2,AC002101.1,AC005301.2,AC011853.2,AC009387.1,AC005772.1,AC002519.2,AC002101.1,AC004233.1,,,,,
ORAI3,TYSND1,ZNF12,DLGAP1-AS2,ZC3HAV1,PRKD3,RDH14,TARS2,KCTD11,SLC7A4,AC005329.1,AC002128.1,AC008708.1,AC002368.1,AC005323.1,AC012368.1,AC009623.1,AC005772.2,AC003044.1,AC002128.1,AC004233.4,,,,,
UNC50,FBXO32,ATG13,CTTN,CIAO1,DDIT3,HEXIM1,ATF5,MALAT1,IRF7,AC005355.1,AC002428.1,AC008750.2,AC002407.1,AC005518.1,AC012404.1,AC009899.1,AC005829.1,AC003087.1,AC002331.1,AC004485.1,,,,,
TMEM126A,EFNA1,ATG12,RRM2B,RNF213,DDIT4,HEXIM2,CGGBP1,CRYAB,TXNIP,AC005481.1,AC002460.2,AC008750.6,AC002428.1,AC005518.2,AC012501.2,AC010325.1,AC005833.1,AC003686.1,AC002351.1,AC004510.1,,,,,
PSME2,NFKBIA,EML2,DDIT3,RDH10,PSME1,AL135905.2,PHC1P1,AL118558.3,KCTD11,AC005537.1,AC004147.4,AC008915.2,AC002456.1,AC005537.1,AC012572.1,AC010547.1,AC005833.2,AC003687.1,AC002428.1,AC004510.2,,,,,
TXNIP,ABTB1,EML3,DDIT4,HEXIM1,TYRO3,JUP,ZNF275,C1R,RIN1,AC005559.1,AC004528.1,AC008993.3,AC002460.2,AC005597.1,AC013727.3,AC010624.5,AC005906.2,AC003965.2,AC002519.2,AC004522.5,,,,,
RBCK1,CHMP2A,ZFYVE16,TRIB3,HEXIM2,ATF5,MTERF3,NUP205,MVP,FTL,AC005606.2,AC004637.1,AC009236.2,AC002467.1,AC005692.1,AC015656.1,AC010729.2,AC005914.1,AC004014.1,AC003044.1,AC004706.2,,,,,
ATF5,MAP3K10,DDIT3,TCTA,AL135905.2,TARS1,EIF2AK1,POM121,AC083843.2,SIDT2,AC005702.3,AC004790.2,AC009264.1,AC003044.1,AC005772.1,AC016152.1,AC010761.6,AC005999.2,AC004125.1,AC003087.1,AC004784.1,,,,,
ABCB6,PLEKHM2,DDIT4,CRYAB,CCZ1B,CGGBP1,FN1,RETSAT,DEPP1,INO80B,AC005753.2,AC004847.1,AC009299.2,AC003965.1,AC005772.2,AC018437.1,AC010998.1,AC006064.3,AC004147.2,AC003686.1,AC004816.2,,,,,
RETSAT,MELTF,ORAI3,RPS27L,MTERF3,PLBD2,EIF2AK2,RPN2,RRAS,AC015982.2,AC005796.1,AC004882.1,AC009387.1,AC004112.1,AC005829.1,AC018437.2,AC011474.1,AC006148.1,AC004147.4,AC003687.1,AC004828.1,,,,,
TTYH2,DDR1,RFX5,AL162595.1,EIF2AK1,VPS28,NR2F2,TTYH2,SPP1,RGS14,AC005833.2,AC004882.2,AC009623.1,AC004223.2,AC005832.3,AC018437.3,AC011853.2,AC006450.3,AC004231.4,AC003958.1,AC004832.1,,,,,
FLII,FTH1P11,RBCK1,STAT6,FN1,UNC119B,LARP4,C22orf46,HMOX1,MVP,AC005865.1,AC004890.2,AC009899.1,AC004233.4,AC005832.4,AC018659.4,AC012368.1,AC006453.1,AC004233.1,AC003958.2,AC004917.1,,,,,
TPRG1L,FTH1P10,ZSCAN25,STX4,EIF2AK2,ZNF275,MOV10,NAIF1,TRAM1L1,IFI6,AC005906.2,AC004923.1,AC010175.1,AC004485.1,AC005833.1,AC018953.2,AC012404.1,AC006453.4,AC004233.4,AC003985.1,AC004941.1,,,,,
GABARAP,PYGB,ATF5,CDIPT,LARP4,NUP205,NNT-AS1,VPS26C,AL645728.1,DEPP1,AC005943.2,AC005064.1,AC010325.1,AC004816.2,AC005833.2,AC021127.1,AC012501.2,AC006487.2,AC004264.1,AC004014.1,AC005050.1,,,,,
CIAO1,ACADVL,PHC1P1,PLK3,TPBGL,POM121,TBL2,ABCB8,H3C6,POLD4,AC005999.2,AC005144.1,AC010547.1,AC004832.3,AC005871.2,AC021188.1,AC012572.1,AC006511.6,AC004485.1,AC004125.1,AC005062.1,,,,,
CYB5R1,BTG2,VPS28,NMB,MOV10,TTYH3,AGO1,XPC,S100A10,FOXN3-AS1,AC006063.2,AC005176.1,AC010624.5,AC004917.1,AC005906.2,AC021915.1,AC013727.3,AC006600.1,AC004510.1,AC004147.2,AC005100.1,,,,,
RDH10,CALCOCO1,PRR13,CSNK1A1,NNT-AS1,RETSAT,PRXL2B,IQGAP1,EGR1,RDH10,AC006063.3,AC005224.1,AC010729.2,AC004944.1,AC005993.1,AC021915.2,AC015656.1,AC006971.1,AC004510.2,AC004147.4,AC005144.1,,,,,
AMZ2,CDKN1A,ZSCAN29,GADD45A,TBL2,NAIF1,NMT1,ZC3HAV1,HSD3B7,SPP1,AC006262.3,AC005224.3,AC010761.6,AC005064.1,AC005999.2,AC022690.2,AC016152.1,AC006978.2,AC004522.5,AC004147.5,AC005176.1,,,,,
HMGXB3,ECM1,RETSAT,GDF15,AGO1,TPRG1L,SFXN3,GNS,PLK3,HMOX1,AC006357.1,AC005256.1,AC010998.1,AC005144.1,AC006063.2,AC022880.1,AC018437.1,AC007064.2,AC004528.1,AC004231.4,AC005209.1,,,,,
GSTM4,ALAS1,TTYH2,CAV1,PRXL2C,VPS26C,HYOU1,HIF1A,NMB,EIF4EBP3,AC006372.2,AC005258.1,AC011474.1,AC005224.1,AC006148.1,AC023301.1,AC018437.2,AC007375.3,AC004706.2,AC004233.4,AC005224.2,,,,,
MCTS1,BTG1,ENDOD1,NCKAP5L,SFXN3,ABCB8,FXYD5,OAZ2,GADD45A,H3C6,AC006372.3,AC005274.1,AC011773.4,AC005224.3,AC006206.2,AC025774.1,AC018437.3,AC007405.1,AC004784.1,AC004264.1,AC005244.2,,,,,
SNF8,HSPB7,NAIF1,PLK2,FXYD5,XPC,BHLHE41,CIAO1,GDF15,EGR1,AC006450.3,AC005329.1,AC011853.2,AC005291.2,AC006305.1,AC026412.4,AC018659.4,AC007450.4,AC004816.2,AC004381.3,AC005252.2,,,,,
MRPL24,WDR45,TPRG1L,TXNRD1,ARHGAP1,IQGAP1,PRKAG1,MTDH,PLK2,HSD3B7,AC006452.1,AC005330.1,AC012368.1,AC005301.2,AC006320.1,AC026774.1,AC018953.2,AC007614.1,AC004828.1,AC004485.1,AC005252.4,,,,,
H1-2,LIMD2,BAZ2A,EAF1,BHLHE41,GNS,ARHGAP5,CYB5R1,AHNAK2,PLK3,AC006453.1,AC005355.1,AC012404.1,AC005323.1,AC006450.3,AC027250.2,AC021127.1,AC007656.1,AC004832.1,AC004522.5,AC005274.1,,,,,
MRPL30,PANX2,XPC,HSPA6,PRKAG1,HIF1A,MED15,PRDX5,HSPA6,GADD45B,AC006487.1,AC005481.1,AC012501.2,AC005400.1,AC006453.1,AC027612.2,AC021188.1,AC007656.2,AC004882.1,AC004528.1,AC005277.1,,,,,
ABTB1,GPER1,A1BG,ASNS,ARHGAP5,OAZ2,MED18,POM121C,ASNS,GADD45A,AC006487.2,AC005537.1,AC012572.1,AC005498.2,AC006453.2,AC037486.1,AC021915.1,AC008012.1,AC004882.2,AC004597.1,AC005291.1,,,,,
MOV10,PEA15,BLOC1S4,FBXO32,MED15,CIAO1,MED12,ST3GAL4,CCDC9B,GDF15,AC006538.2,AC005548.1,AC013727.3,AC005518.1,AC006453.4,AC040168.1,AC021915.2,AC008055.1,AC004917.1,AC004687.3,AC005291.2,,,,,
RPL21P28,POLL,CYB5R1,ABTB1,MED18,MTDH,SMPD2,PLCG1,FBXO32,HSPA6,AC007326.2,AC005559.1,AC015656.1,AC005537.1,AC006459.1,AC041005.1,AC022690.2,AC008056.1,AC004923.1,AC004706.2,AC005301.1,,,,,
TBL3,SH3BGRL3,BLOC1S2,ZNFX1,MED12,RNF213,CHAF1B,EDEM3,H1-2,ISG15,AC007375.3,AC005562.1,AC016152.1,AC005670.3,AC006971.1,AC044810.2,AC022880.1,AC008481.3,AC004941.1,AC004784.1,AC005301.2,,,,,
TBL2,TIMP1,S100A13,DNAJA4,SMPD2,POM121C,ATIC,GSDMD,ABTB1,FBXO32,AC007405.2,AC005597.1,AC016590.1,AC005692.1,AC006978.2,AC044810.3,AC023301.1,AC008571.2,AC005050.1,AC004790.2,AC005303.1,,,,,
TDP2,UPP1,HMOX1,BAX,CHAF1B,ST3GAL4,MED10,HEXIM1,DNAJA4,AL590617.2,AC007450.4,AC005606.2,AC018437.1,AC005697.1,AC007064.2,AC068389.1,AC025437.4,AC008708.1,AC005062.1,AC004816.2,AC005304.3,,,,,
PSMG3,AC046185.3,AMZ2,MAP3K10,ATIC,HMOX1,RPL37P2,HEXIM2,CYP1A1,H1-2,AC007614.1,AC005625.1,AC018437.2,AC005772.1,AC007346.1,AC069133.1,AC025774.1,AC008725.1,AC005064.1,AC004828.1,AC005323.1,,,,,
SFXN3,BTN3A1,ZBTB7B,PLEKHM2,MED10,ZBTB7B,SPHK2,PLK3,MDM2,BST2,AC007656.2,AC005692.1,AC018437.3,AC005772.2,AC007351.1,AC073136.1,AC026412.4,AC008735.3,AC005100.1,AC004832.1,AC005336.1,,,,,
FXYD5,CHPF2,S100A11,PLXNB2,METRN,ZBTB7A,SPHK1,AL135905.2,MELTF,EFNA1,AC007663.1,AC005696.4,AC018659.4,AC005829.1,AC007375.3,AC073475.1,AC026774.1,AC008750.2,AC005144.1,AC004882.1,AC005336.2,,,,,
TMEM9B,ITGA3,S100A10,HBP1,SPHK1,ZNF266,RAB3IL1,F8A1,CD68,MC1R,AC007743.1,AC005702.3,AC018953.2,AC005832.4,AC007450.1,AC073869.3,AC027250.2,AC008750.6,AC005176.1,AC004917.1,AC005358.1,,,,,
HRK,SPHK1,GSTM4,MELTF,SLC39A13,GSDMD,FOS,FZD5,HSPA1A,CYP1A1,AC008012.1,AC005726.1,AC021127.1,AC005833.1,AC007614.1,AC073869.5,AC027612.2,AC008993.3,AC005209.1,AC004923.1,AC005515.1,,,,,
BHLHE41,KRTAP19-1,PLK3,YPEL5,FOS,MCTS1,GMIP,EDEM1,,CD68,AC008132.1,AC005753.2,AC021188.1,AC005906.2,AC007649.1,AC074387.1,AC037486.1,AC009102.4,AC005224.1,AC004941.1,AC005518.1,,,,,
PRKAG1,VPS37D,PLK2,HSPA1A,BAZ1B,PLK3,MED29,EIF2AK1,,CAPS,AC008687.3,AC005772.2,AC021915.1,AC005914.1,AC007656.1,AC078845.1,AC040168.1,AC009117.1,AC005224.2,AC004944.1,AC005548.1,,,,,
SNX11,BTN3A3,RMDN3,,DUSP9,AL135905.2,DDB2,FN1,,MYD88,AC008687.8,AC005790.1,AC021915.2,AC005972.3,AC007656.2,AC079160.1,AC041005.1,AC009139.1,AC005244.2,AC005050.1,AC005549.1,,,,,
MED15,WIPI1,TYSND1,,DUSP6,F8A1,SLC7A4,TYSND1,,HSPA1A,AC008742.1,AC005796.1,AC022690.2,AC005993.1,AC007673.1,AC079779.3,AC044810.2,AC009236.2,AC005252.2,AC005062.1,AC005552.1,,,,,
MED18,RHOC,NR1D1,,MED29,FZD5,SDHAF2,NR1D1,,,AC008750.1,AC005833.2,AC022880.1,AC005999.2,AC007718.1,AC083967.1,AC044810.3,AC009262.1,AC005252.4,AC005064.1,AC005580.1,,,,,
MRPL32,IL17RC,H1-2,,DDB2,EDEM1,SLC7A8,RMDN1,,,AC009041.1,AC005865.1,AC023301.1,AC006063.2,AC007846.2,AC084121.2,AC068389.1,AC009264.1,AC005256.1,AC005100.1,AC005597.1,,,,,
PIGY,POMGNT1,ABTB1,,SLC7A4,EIF2AK1,LINC00963,GPN2,,,AC009041.2,AC005865.2,AC025437.4,AC006063.4,AC008012.1,AC090125.1,AC068888.1,AC009299.2,AC005258.1,AC005144.1,AC005691.1,,,,,
DDA1,RUSF1,MOV10,,SLC7A5,MCAM,ERGIC3,H1-0,,,AC009061.1,AC005871.1,AC025774.1,AC006064.3,AC008055.1,AC090136.3,AC069133.1,AC009387.1,AC005274.1,AC005176.1,AC005692.1,,,,,
PQBP1,CTTN,RNF103,,MED25,FN1,SLC18B1,MEX3C,,,AC009065.1,AC005906.2,AC026412.4,AC006148.1,AC008056.1,AC090200.1,AC073136.1,AC009396.1,AC005277.1,AC005209.1,AC005692.2,,,,,
PCMTD2,RRM2B,ATG2A,,OAF,EIF2AK2,CRYAB,GPR137B,,,AC009093.10,AC005943.2,AC026774.1,AC006320.1,AC008273.1,AC090618.1,AC073475.1,AC009435.1,AC005291.1,AC005224.2,AC005692.3,,,,,
MED11,CCDC74A,CYP1A1,,LINC00963,TYSND1,PAFAH1B2,FOSL2,,,AC009185.1,AC005999.2,AC027250.2,AC006372.3,AC008554.1,AC090816.1,AC073869.3,AC009486.2,AC005291.2,AC005244.2,AC005772.1,,,,,
PANX2,TMBIM1,SFXN3,,CRYAB,RMDN1,PAFAH1B1,FAM220A,,,AC009236.2,AC006063.2,AC027612.2,AC006450.3,AC008571.2,AC090983.2,AC073869.5,AC009623.1,AC005301.1,AC005252.2,AC005772.2,,,,,
HEY1,CRYAB,TNFSF9,,PAFAH1B2,GPN2,ZDHHC20P4,ABTB1,,,AC009299.1,AC006063.3,AC037486.1,AC006453.1,AC008627.1,AC091076.1,AC074387.1,AC009623.3,AC005301.2,AC005252.4,AC005823.2,,,,,
FASTK,DNASE1L1,HBP1,,AP003307.1,H1-0,ZSWIM1,MOV10,,,AC009477.1,AC006262.3,AC040168.1,AC006453.2,AC008705.1,AC092422.1,AC078845.1,AC009654.1,AC005303.1,AC005256.1,AC005832.1,,,,,
MED10,BECN1,CPEB4,,SZRD1,MEX3C,SZRD1,NNT-AS1,,,AC009518.1,AC006262.4,AC041005.1,AC006453.4,AC008708.1,AC092810.2,AC079160.1,AC010325.1,AC005304.3,AC005258.1,AC005833.1,,,,,
SMPD1,MVP,HRK,,ATL3,GPR137B,ATL3,RNF103,,,AC009899.1,AC006357.1,AC044810.2,AC006487.2,AC008708.2,AC093787.1,AC079779.3,AC010547.1,AC005323.1,AC005274.1,AC005865.2,,,,,
SH3BGRL3,RPS27L,PYGB,,SNX33,FOSL2,SNX33,SLC6A8,,,AC010247.1,AC006372.2,AC044810.3,AC006511.6,AC008725.1,AC093787.2,AC083967.1,AC010547.2,AC005336.1,AC005277.1,AC005871.1,,,,,
IKBKG,AC027031.2,BTG2,,CENPB,FAM220A,EXOSC10,AGO1,,,AC010247.2,AC006372.3,AC067930.5,AC006600.1,AC008750.2,AC094105.1,AC084121.2,AC010624.5,AC005336.2,AC005291.1,AC005871.2,,,,,
NELFE,FAM86DP,CDKN1A,,EXOSC10,MOV10,PRR14L,ATG2A,,,AC010729.2,AC006372.4,AC068389.1,AC006971.1,AC008825.1,AC097374.1,AC090125.1,AC010729.2,AC005358.1,AC005291.2,AC005998.1,,,,,
ELOVL1,TSPAN31,BTG1,,SPP1,NNT-AS1,SNX27,OGDH,,,AC010745.2,AC006435.1,AC068888.1,AC006978.2,AC008840.1,AC099518.3,AC090136.3,AC010745.2,AC005481.1,AC005301.1,AC005999.1,,,,,
LYPLA2,PERP,ARPC1B,,ZSWIM8,RNF103,ZSWIM8,PSMG3,,,AC010931.1,AC006450.3,AC069133.1,AC007064.2,AC008992.1,AC099548.2,AC090200.1,AC010761.6,AC005515.1,AC005301.2,AC006003.1,,,,,
DUSP3,STAT6,BHLHE41,,LINC00997,SLC6A8,MFN2,HBP1,,,AC010931.2,AC006452.1,AC073136.1,AC007191.1,AC009117.1,AC100836.1,AC090360.1,AC010969.3,AC005518.1,AC005303.1,AC006019.3,,,,,
RING1,STX4,ARHGAP5,,MFN2,TBL2,STX4,LINC02604,,,AC010969.3,AC006453.1,AC073475.1,AC007262.2,AC009139.1,AC103563.5,AC090618.1,AC011124.1,AC005537.1,AC005304.3,AC006063.1,,,,,
DUSP1,CDIPT,CYB561D1,,STX4,TOLLIP,STX3,AVL9,,,AC011396.2,AC006487.1,AC073869.3,AC007346.2,AC009262.1,AC103876.1,AC090816.1,AC011228.2,AC005548.1,AC005323.1,AC006115.2,,,,,
NSUN5,APOL2,WDR45,,EGLN1,PRXL2C,EGLN1,CPEB4,,,AC011452.1,AC006487.2,AC073869.5,AC007375.2,AC009264.1,AC104088.1,AC090983.2,AC011450.1,AC005549.1,AC005323.2,AC006133.1,,,,,
SPHK2,AC109322.1,SMG8,,SNX21,OGDH,C4orf3,GSDME,,,AC011473.4,AC006538.1,AC073878.1,AC007375.3,AC009271.1,AC104453.1,AC091076.1,AC011474.1,AC005552.1,AC005336.1,AC006148.1,,,,,
SPHK1,MTX1,FCRLA,,SNX22,PSMG3,MBD1,BTG3,,,AC011474.1,AC006538.4,AC074387.1,AC007405.1,AC009299.2,AC104596.1,AC092335.1,AC011498.1,AC005559.1,AC005336.2,AC006206.2,,,,,
SIRT6,GDF15,PCMTD2,,ARCN1,SFXN3,AL662795.2,BTG1,,,AC011474.2,AC007207.1,AC078845.1,AC007405.3,AC009387.1,AC105021.1,AC092422.1,AC011593.1,AC005580.1,AC005358.1,AC006236.1,,,,,
FOS,NCKAP5L,GLI4,,FAM200B,LINC02604,SNX21,PIGT,,,AC012354.1,AC007326.2,AC079160.1,AC007450.4,AC009435.1,AC105383.1,AC092810.2,AC011773.3,AC005597.1,AC005381.1,AC006262.1,,,,,
JOSD2,TRMT1,PANX2,,FAM200A,AVL9,SNX22,ARPC1B,,,AC012354.4,AC007346.2,AC079779.3,AC007535.1,AC009486.2,AC105916.1,AC093599.2,AC011773.4,AC005606.2,AC005515.1,AC006262.2,,,,,
GMIP,BLCAP,DSTYK,,TAOK1,GSDME,ARCN1,HEXB,,,AC012354.8,AC007405.2,AC083967.1,AC007614.1,AC009518.1,AC105941.1,AC093787.1,AC011853.2,AC005691.1,AC005518.1,AC006262.4,,,,,
FAHD2A,MLPH,FAM102A,,TAOK2,HRK,NUDT22,PIGP,,,AC012645.3,AC007450.4,AC084121.2,AC007649.1,AC009554.1,AC106799.1,AC093787.2,AC012368.1,AC005692.1,AC005537.1,AC006320.1,,,,,
MED29,BAX,UBL3,,CRAT,BTG3,FAM200B,BHLHE41,,,AC012676.1,AC007611.1,AC090125.1,AC007656.1,AC009623.1,AC106799.2,AC094105.1,AC012404.1,AC005692.2,AC005548.1,AC006348.1,,,,,
DDB2,LTBR,CSRP1,,SLC27A1,BTG1,FAM200A,ARHGAP5,,,AC013269.2,AC007614.1,AC090136.3,AC007656.2,AC009654.1,AC107223.1,AC097374.1,AC012501.2,AC005692.3,AC005549.1,AC006372.1,,,,,
MRPL44,CD68,AIFM2,,CRCP,ARPC1B,ETNK2,LITAF,,,AC015909.1,AC007656.2,AC090200.1,AC007666.2,AC009899.1,AC107373.1,AC099518.3,AC012572.1,AC005753.2,AC005552.1,AC006372.4,,,,,
GON7,YPEL5,SMPD1,,TMEM167B,HEXB,SHKBP1,MRPL32,,,AC016168.4,AC007663.1,AC090360.1,AC007673.1,AC010325.1,AC107373.3,AC099548.2,AC013287.1,AC005772.1,AC005559.1,AC006427.2,,,,,
PSMA5,YPEL3,PEA15,,PDCD7,PIGP,TAOK1,MED12,,,AC016526.4,AC007743.1,AC090579.1,AC007743.1,AC010476.2,AC108169.1,AC100836.1,AC013727.2,AC005772.2,AC005580.1,AC006450.1,,,,,
