CSF2,BMP5,CAPN6,EFNB1,BBS4,,H1FX,,,AGPAT2,ACSL1,CWC27,PRELP,CBX8,ADAMTS1,ANKS1A,ADRA1A,CCND1,ADAM12,ADAMTS5,BORCS6,ATP13A2,BMI1,ARL4A,CENPS-CORT,ARID1A,CENPS-CORT,AIFM1,RYBP,RNF8,PAF1,KDM2B,BARD1,ANAPC2,DTX3L,ANAPC4,ANAPC7,TRIM32,MSL3,TAF10,RTF1,F13A1,F2R,,,,,,,IL18BP,PDGFRB,BHLHE40,CD74,HIST2H2AA4,HIST2H2AA4,HIST2H2AA4
FAS,C3orf52,CD46,ERBB4,BCL10,,HCG4,,,AHCYL2,ACTB,EEF1A1,PTRH2,CSNK2A1,ADARB1,APAF1,ADRA2A,CDK6,ADAMTS15,ADAP2,C1ORF54,B4GALNT1,BST2,ARL4C,APTX,ARID1B,ARID1A,AKAP8,SKP1,RYBP,PCGF1,LEO1,BMI1,ANAPC4,FANCL,ANAPC5,ANKIB1,UBE2J2,MSL3P1,TRRAP,TET2,CPVL,KRT19,,,,,,,NAMPT,RAC1,BIRC2,CMPK2,CD68,CD68,CD68
FASLG,C9orf95,CD82,FGF19,BMP4,,ID2,,,AIP,ACTN4,ERMAP,RNF144A,CSNK2A2,ADCY9,APBB3,ADRB1,CLDN1,ADAMTS18,ADARB2,C2ORF27A,BDKRB2,CFAP20,ARNTL2,AR,ARID2,ARID1B,AKAP8L,TRIM37,SKP1,RAG1,PAF1,BRCA1,ANAPC5,FBXL2,ANAPC7,ARIH1,,RUVBL1,UIMC1,TET3,SEMA6D,CTGF,,,,,,,PDE4B,STAT3,BIRC3,CNP,HMOX1,HMOX1,HMOX1
FCER1G,CDH1,CD9,FOLR1,C2CD3,,IL12RB2,,,AKR7A2,ACTR3,EXTL2,,CSNK2B,ADCYAP1R1,API5,ADRB3,COL5A1,ADAMTS5,ADCY4,CA2,BMP4,C1ORF54,ASPH,ARID1A,ARID4A,ARID2,ANP32B,,TRIM37,RING1,PCGF1,BRCC3,ANAPC7,HUWE1,ANKIB1,ARIH2,,RUVBL2,USP15,WDR61,NHSL2,ZFC3H1,,,,,,,IL8,TGFB1,BMP2,CSF1,SLC7A4,SLC7A4,SLC7A4
FCGR3A,CDH19,CEP290,FOXC1,C3orf54,,IL1RAP,,,ALDH1L1,ADAM17,FAM129A,,EED,ADI1,APOBEC3D,GPAT3,CPA4,ADAMTSL3,ADCY8,CAB39,BMP5,SAYSD1,ATF3,ARID3A,ARID4B,ARID4A,ANP32E,,UBE2A,RNF168,PHC1,BABAM2,ANKIB1,KDM2B,ARIH1,ASB2,,TRRAP,USP16,ZNF335,GTF2IP7,,,,,,,,PSME2,VIM,BTG1,CXCL10,DDIT4,DDIT4,DDIT4
FCGR3B,CDH6,CHRDL1,FOXC2,C6orf170,,AHCYL2,,,ALDH6A1,ADAM23,FBXO33,,EZH1,GRK2,ARAP1,ALOX15,CRISPLD2,ADAP2,ADCYAP1,CCKAR,BST1,PLGRKT,ATP13A2,ARID3C,ARID5B,ARID4B,ANXA1,,UBE2B,RNF2,RAG1,BUB1B,ARIH1,KLHL12,ARIH2,ASB4,,YEATS4,USP21,KMT2D,DPYSL3,,,,,,,,P2RX4,,BTG2,CXCL11,C10orf10,C10orf10,C10orf10
FYN,CEBPD,CNTNAP2,FRZB,CC2D2A,,COBLL1,,,ALDH9A1,ADAMDEC1,FERMT2,,EZH2,AEN,ARHGAP19,ALX3,DNMT3B,ADARB2,ADM,CDH22,C2CD2L,CA2,BIRC3,ARX,ASF1A,ARID5B,APBB1,,UBR2,RNF20,RING1,CACUL1,ARIH2,KLHL22,ARRB1,ATG3,,,USP22,,PCDH7,,,,,,,,IFI44,,BTG3,DDX60,EGR1,EGR1,EGR1
GRB2,CELF3,COCH,GBX2,CECR2,,LPIN1,,,ANAPC5,ADCY1,FKBP3,,H2AFY,AES,ARL1,ALX4,EDN1,ADCY4,ADRA1A,CES1,C3AR1,CCKAR,BMP5,ASCL1,ASF1B,ASF1A,APEX1,,,RNF40,RNF168,ANAPC15,ARRB1,LEO1,ARRB2,AUP1,,,USP27X,,KHDRBS3,,,,,,,,CCR7,,CCL2,DHX58,UPP1,UPP1,UPP1
GZMB,CHGA,COL4A5,GDNF,CELSR1,,MSC,,,AP2M1,ADCY3,FNDC3A,,H2AFY2,AGAP3,ARL5B,ANKRD18A,F2RL1,ADCY8,ADRA2A,CHL1,TCIM,CDH10,BST1,ASF1A,ASH1L,ASF1B,CENPS-CORT,,,RYBP,RNF2,CBX2,ARRB2,MGRN1,ASB1,BACH1,,,USP3,,TRAC,,,,,,,,KLF10,,CCL20,EIF2AK2,ACP5,ACP5,ACP5
HCST,CHN2,COL4A6,GSC,CHRD,,NR1D2,,,APOE,ADCY9,NOP53,,HDAC2,AGPAT5,ARL6IP1,ANKRD18B,FAM43A,ADCYAP1,ADRB1,CHMP2B,CCL20,CH25H,MAP3K7CL,ASH1L,ASH2L,ASH1L,ARID1A,,,SKP1,RNF20,CBX4,ASB1,NEDD4,ASB10,BACH2,,,USP34,,TMEM156,,,,,,,,ADRM1,,CCL4,ELF1,HSD3B7,HSD3B7,HSD3B7
HLA-A,CNR1,COL9A3,HAND2,COBL,,SLC6A15,,,APPL1,ADI1,H2AFY2,,JARID2,AKAP2,ARMCX1,ANKRD19P,FOSL1,ADM,ADRB3,CITED1,CCND1,CHL1,C2CD2,ASH2L,ASXL1,ASH2L,ARID1B,,,TRIM37,RNF40,CBX7,ASB10,NEDD4L,ASB11,BARD1,,,USP49,,CST4,,,,,,,,KLF9,,CCL5,EPSTI1,GADD45A,GADD45A,GADD45A
HLA-B,COBLL1,CREB5,HES1,CTHRC1,,PDE3A,,,ARF4,AGAP1,HAUS4,,KDM2B,AKAP8,ARNTL,ANKRD20A1,GADD45A,ADRA1A,AFF2,CLDN16,CD82,CLIP3,C2CD2L,ATAD2,ATAD2,ASXL1,ARID2,,,UBE2E1,RNF8,CBX8,ASB11,NEURL1,ASB12,BMI1,,,USP51,,CD24,,,,,,,,NFIL3,,CCND1,FAM125A,MVP,MVP,MVP
HLA-C,COL14A1,CROT,HIF1A,DACT1,,PDE4B,,,ARL1,AHI1,HDGFL3,,MTF2,AKT1S1,ATAD5,ANKRD20A2,GAL,ADRA2A,GPAT3,CLIP3,ADGRE5,COL14A1,C3AR1,ATAD2B,ATF2,ATAD2,ARID4A,,,UHRF1,RYBP,CDC16,ASB12,PAF1,ASB13,BRAP,,,,,FGF5,,,,,,,,CNP,,CCNL1,FAM46A,PCAT6,PCAT6,PCAT6
HLA-E,COL1A2,CXCR7,HTR2B,DCHS1,,PHLDA1,,,ARL2,AHNAK2,ID2,,PCGF1,ALDH1A3,ATP10D,ANKRD20A3,IL7R,ADRB1,AHR,COL4A3BP,CDCP1,COL9A3,ADGB,ATF2,ATM,ATF2,ARID4B,,,WAC,SKP1,CDC20,ASB13,PRKN,ASB14,BRCA1,,,,,NTN4,,,,,,,,LDLR,,CCRL2,FTSJD2,SHISA4,SHISA4,SHISA4
HLA-G,COL3A1,DDB2,ISL1,DEAF1,,PLXNB1,,,ARL8B,AK4,MBNL1,,PCGF2,ALDH9A1,ATP6V0D1,ANKRD20A5P,INHBA,ADRB3,SLC45A2,COL9A3,CHST11,CREM,TCIM,ATF5,ATRX,ATM,ARID5B,,,,SUZ12,CDC23,ASB14,PCGF1,ASB15,BRCC3,,,,,,,,,,,,,HES1,,CD44,GBP2,TNFRSF12A,TNFRSF12A,TNFRSF12A
HRAS,COMMD9,DLK1,JAG1,DLC1,,PPP1R3C,,,ARMCX2,AKAP13,MRPS25,,PCGF3,ANGPTL2,ATP6V1A,ANKRD20A8P,ITGA3,GRK3,ALOX15,CREM,CHST3,CRLF1,CCND1,ATOH1,ATXN3,ATRX,ASCC3,,,,TRIM37,CDC26,ASB15,PEX12,ASB16,BABAM2,,,,,,,,,,,,,HLA-A,,CD69,GBP4,NEAT1,NEAT1,NEAT1
ICAM1,CRABP1,DMD,KITLG,DVL1,,CAVIN1,,,ARPC4,AKAP9,NEK1,,PCGF5,ANKDD1A,AZIN1,ANKRD27,ITGA4,AFF2,ALOX5,CTAG1A,CLDN1,CTSH,ADGRE5,ATRX,ATXN7,ATXN3,ASF1A,,,,UBE2A,CDC27,ASB16,RAD18,ASB17,BTBD18,,,,,,,,,,,,,PARP9,,CD80,GMPR,DNAJA4,DNAJA4,DNAJA4
ICAM2,CRABP2,DOCK3,LAMA5,DVL2,,RAF1,,,ASAH1,ALG13,PDGFD,,PCGF6,ANKH,B4GALT6,AQP5,ITGB8,GPAT3,ALX1,CTNNBIP1,CLSPN,CUX2,CDC42EP2,ATXN7,ATXN7L3,ATXN7,ASF1B,,,,UBE2B,CUL7,ASB17,RAG1,ASB18,BTRC,,,,,,,,,,,,,NUB1,,CD83,HERC6,MELTF,MELTF,MELTF
IFNA1,CRYZ,DSCR6,LEF1,DVL3,,ROBO1,,,ATG3,ALG5,PHTF2,,PHC1,ANKRD29,BCL2L13,ARHGAP20,JUN,AKR7A2,ALX3,CYP11A1,COL13A1,CXCL14,CDH13,AUTS2,AURKA,ATXN7L3,ASH1L,,,,UBE2E1,FZR1,ASB18,RBX1,ASB2,BUB1B,,,,,,,,,,,,,STAT2,,CDKN1A,HLA-C,ZFAND2A,ZFAND2A,ZFAND2A
IFNA10,CYP26A1,DSP,LRP6,EN1,,SETMAR,,,ATP11A,ALK,PNMA1,,PHC2,APCDD1,BIRC2,ARL9,KCNN3,ALDH1L1,ALX4,DCTN6,COL16A1,CYTL1,CHST11,BAHCC1,AURKB,AURKA,ASH2L,,,,UBE2N,MAD2L2,ASB2,RING1,ASB3,CACUL1,,,,,,,,,,,,,VIP,,CEBPB,IFI27,EEF1A2,EEF1A2,EEF1A2
IFNA13,DACT1,DTNA,MAPK1,EPHA2,,SPP1,,,ATP11B,AMZ2,PTEN,,PHC3,APEH,BIRC3,ASCL1,KRT75,ALOX15,AMOT,DDX60,COL7A1,DDX60,CHST3,BAHD1,AURKC,AURKB,ASXL1,,,,UBE2U,PCGF2,ASB3,RNF126,ASB4,ANAPC15,,,,,,,,,,,,,TGIF1,,CEBPD,IFI30,ASNS,ASNS,ASNS
IFNA14,DCN,DUSP6,MAPK3,FERD3L,,TFAP2A,,,ATP13A3,ANK2,PTPRN2,,PHF1,APLP1,BMI1,ASCL2,LFNG,ALOX5,ANKRD13C,DNAJC12,CPA4,DIRAS3,CLDN1,BAP1,BABAM1,AURKC,ATAD2,,,,UBR2,PCGF6,ASB4,RNF168,ASB5,CAND1,,,,,,,,,,,,,PVR,,CFLAR,IFI35,SPHK1,SPHK1,SPHK1
IFNA16,DCX,EFEMP1,MEF2C,FGF8,,TIMP3,,,ATP5MG,ANKRD10,RABGGTB,,PHF19,ARG2,BPGM,ASTN1,LOC151760,ALOXE3,ANKRD18A,DOK5,CRISPLD2,DLK1,COL13A1,BARX2,BAG6,BABAM1,ATF2,,,,UHRF1,PHC1,ASB5,RNF2,ASB6,CBLL1,,,,,,,,,,,,,MOV10,,CLCF1,IFI44,KLHL38,KLHL38,KLHL38
IFNA17,DLC1,EFNA1,NRG1,FKBP8,,,,,ATP6V1A,ANKRD46,RASIP1,,RBBP4,ARHGAP17,BST2,ASTN2,LRRC8A,ALX1,ANKRD18B,DPYD,CSF1,DOK5,COL16A1,BAZ1B,BAHCC1,BAG6,ATM,,,,USP22,PHC2,ASB6,RNF20,ASB7,CBX2,,,,,,,,,,,,,PSMA2,,CSF1,IFI44L,HIST2H2BE,HIST2H2BE,HIST2H2BE
IFNA2,DNAJC1,EMX2,NRP1,FOLR1,,,,,ATXN7,ANP32E,RHOC,,RBBP7,ARID1B,BTN3A1,ATF3,MAP1B,ALX3,ANKRD19P,DYNLT3,CSF2,DPM3,COL7A1,BCAS3,BAHD1,BAHCC1,ATRX,,,,WAC,PHC3,ASB7,RNF40,ASB8,CBX4,,,,,,,,,,,,,EIF4E3,,CSF2,IFIH1,ADAMTS1,ADAMTS1,ADAMTS1
IFNA21,DPYD,ENPP4,NRTN,FOXA1,,,,,AZGP1,ANXA11,RPF2,,RING1,ARL13B,BVES,ATOH1,MICA,ALX4,ANKRD20A1,ECH1,CSPG4,DPYD,CPA4,BCL6,BANP,BAHD1,ATXN3,,,,,RBX1,ASB8,RYBP,ASB9,CBX7,,,,,,,,,,,,,IER3,,CXCL1,IFIT2,SESN2,SESN2,SESN2
IFNA4,EDNRA,EPHA2,OVOL2,FOXB1,,,,,BAG5,ANXA4,RPL9,,RNF2,ASH1L,C16ORF58,ATOH8,MICAL2,AMMECR1,ANKRD20A2,EEF1A2,CSPG5,DUSP2,CRISPLD2,BEND6,BAP1,BANP,ATXN7,,,,,RING1,ASB9,SKP1,ATG3,CBX8,,,,,,,,,,,,,PLA2G4A,,CXCL10,IFIT3,KCTD11,KCTD11,KCTD11
IFNA5,EEF1A2,ETV5,PHACTR4,FUZ,,,,,BAMBI,AP1G2,RWDD2B,,RYBP,ATE1,C18ORF25,B4GALNT1,MICALL1,AMN,ANKRD20A3,EFHD1,CTNS,DYNLT3,CSF1,BMI1,BAZ1A,BAP1,ATXN7L3,,,,,RNF2,ASXL1,TOPORS,ATG7,CCIN,,,,,,,,,,,,,TRAFD1,,CXCL11,IFITM1,RP5-832C2.5,RP5-832C2.5,RP5-832C2.5
IFNA6,ELK3,F3,PHOX2B,FZD1,,,,,BBX,AP1S1,SCAF11,,SCML2,ATF1,SPRTN,B4GALNT2,MICB,AMOT,ANKRD20A5P,EGR1,CTSS,EDN3,CSF2,BRCA1,BAZ1B,BAZ1A,AURKA,,,,,RNF222,ATG10,TRIM21,AURKA,CCNC,,,,,,,,,,,,,MYD88,,CXCL2,IFITM2,AHNAK2,AHNAK2,AHNAK2
IFNA7,ENC1,FABP7,PITX2,FZD2,,,,,BEX1,APOBEC3G,SPART,,SIRT1,ATF2,SDE2,BARHL1,MMP7,ANKRD11,ANKRD20A8P,EHHADH,CXCL1,EFHD1,CSPG4,BRD2,BAZ2A,BAZ1B,AURKB,,,,,RNF4,ATG3,TRIM25,AURKB,CCNF,,,,,,,,,,,,,VAMP5,,CXCL3,IFITM3,HIST1H1C,HIST1H1C,HIST1H1C
IFNA8,ERBB3,FAM107A,RDH10,FZD3,,,,,BEX4,APOD,TMEM47,,SKP1,ATG9A,C2CD2,BARHL2,MYOF,ANKRD18A,ANKRD27,EIF4B,ACKR3,EHHADH,CXCL1,BRD3,BCOR,BAZ2A,AURKC,,,,,RNF7,ATG7,TRIM37,BACH1,CDC16,,,,,,,,,,,,,TRIM14,,CXCL6,IL15,IRF7,IRF7,IRF7
IFNAR1,FAM89B,FAM70A,RET,FZD6,,,,,BFAR,APP,TUBGCP3,,SUZ12,ATP11C,SMIM14,BARX1,NAV1,ANKRD18B,ANKRD9,EPHA4,DHRS3,EPHA4,DUSP10,BRD4,BCORL1,BCOR,AXIN2,,,,,UBE2C,ATXN3,TSG101,BACH2,CDC20,,,,,,,,,,,,,TUBB2A,,CXCR7,IL4R,ABTB1,ABTB1,ABTB1
IFNAR2,FAP,FBN2,SEMA3A,GBX2,,,,,BMI1,APPBP2,,,TRIM37,ATP13A3,C6ORF58,BARX2,NAV2,ANKRD19P,APBB1IP,ESRP1,DKK1,EPYC,EDN1,TICRR,BEND3,BCORL1,B9D2,,,,,UBE2S,ATXN3L,UBE2B,BARD1,CDC23,,,,,,,,,,,,,BPGM,,CYR61,IL7,PLK2,PLK2,PLK2
IFNB1,FST,FEZF2,SEMA3B,GDF7,,,,,BRCC3,ARFGEF1,,,UBAP2L,ATP1B1,MAP11,BATF3,NET1,ANKRD20A1,APOO,ETFB,EDN1,ERCC4,EHD1,MEIOB,BMI1,BEND3,BABAM1,,,,,,ATXN7,UBE2D3,BCL2,CDC26,,,,,,,,,,,,,B2M,,DDX58,IRF1,PLK3,PLK3,PLK3
IFNG,GAP43,FGF17,SEMA3C,GLI2,,,,,BSG,ARFGEF2,,,,B3GAT1,CALCRL,BCL2,NTM,ANKRD20A2,AQP5,ETV1,EPHA2,ESRP1,F3,URI1,BPTF,BMI1,BAG6,,,,,,ATXN7L3,UBE2E1,BCOR,CDC27,,,,,,,,,,,,,HRH1,,DENND5A,IRF2,HIST1H3E,HIST1H3E,HIST1H3E
IFNGR1,GNRH1,FGF8,SEMA3D,GLI3,,,,,BTG1,ARHGAP1,,,,B4GALNT3,CASP8,BHLHE22,P4HA2,ANKRD20A3,ARHGAP20,FAM76A,F3,ETFB,FADS3,FAAP24,BRCA2,BPTF,BAHCC1,,,,,,AURKA,UBE2O,BFAR,CDKN1B,,,,,,,,,,,,,PSMB9,,DNAJB4,IRF7,ITGA3,ITGA3,ITGA3
IFNGR2,GPR126,FJX1,SEMA3E,GLMN,,,,,C3ORF14,ARMC1,,,,B4GALT5,CBR4,BHLHE23,PAPPA,ANKRD20A5P,ARID1A,FLJ42627,FADS3,EVI5,FAM189A1,CABIN1,BRCC3,BRCA2,BAHD1,,,,,,AURKB,UBE2R2,BIRC2,COMMD1,,,,,,,,,,,,,LATS2,,DRAM1,IRF9,TNS2,TNS2,TNS2
ITGAL,GRN,FLJ13197,SEMA3F,GRHL2,,,,,HMCES,ARMC9,,,,BAALC,CCDC25,BHLHE41,PLAT,ANKRD20A8P,ARID3C,FOS,FAM57A,EYA4,FAP,CALCOCO1,BRD1,BRCC3,BANP,,,,,,BABAM1,UBE2T,BIRC3,CRBN,,,,,,,,,,,,,PTPN6,,DUSP1,ISG15,DDIT3,DDIT3,DDIT3
ITGB2,GSN,FOS,SEMA3G,GRHL3,,,,,C4ORF19,ARPC2,,,,BAG4,CCNDBP1,BMP8A,PLAUR,ANKRD27,ARL9,GAS2,FAP,FCGRT,FGF21,CAMTA2,BRD2,BRD1,BAP1,,,,,,BACH1,UBE2W,BIRC5,CUL1,,,,,,,,,,,,,DCBLD2,,DUSP2,ISG20,MALAT1,MALAT1,MALAT1
KIR2DL1,GYPC,FOXG1,SEMA4A,GSC,,,,,OARD1,ARRB1,,,,ADGRB2,CCNG2,BNC1,PODXL,APBB1IP,ARNTL,GAS7,FES,,FJX1,CBX1,BRD3,BRD2,BAZ1A,,,,,,BACH2,UBE4B,BIRC6,CUL2,,,,,,,,,,,,,PSMB8,,DUSP4,LAMP3,RP11-1017G21.5,RP11-1017G21.5,RP11-1017G21.5
KIR2DL2,HAPLN1,FUT8,SEMA4B,HES1,,,,,PXDC1,ASAP1,,,,BARX1,CCZ1,BTG2,PTHLH,APCDD1L,ASAH1,GPD1L,FGF21,FOS,FOSL1,CBX2,BRD4,BRD3,BAZ1B,,,,,,BAP1,UHRF1,BIRC7,CUL3,,,,,,,,,,,,,IL1R1,,DUSP5,LAP3,MINCR,MINCR,MINCR
KIR2DL3,HMGA1,FUT9,SEMA4C,HES3,,,,,ARMT1,ASAP2,,,,BASP1,CD2AP,RGCC,RHOD,AQP5,ASCL1,GPR162,FGFR1,GAS2,GAB2,CBX4,BRD8,BRD4,BAZ2A,,,,,,BARD1,WAC,BIRC8,CUL4A,,,,,,,,,,,,,PSMB2,,EDN1,LGALS3BP,BTG2,BTG2,BTG2
KIR2DL4,HOXA2,FZD5,SEMA4D,HES5,,,,,C6ORF48,ASB9,,,,BCL9,CEP57,C17ORF102,S100A2,ARHGAP20,ASCL2,GPR88,FJX1,GAS7,GADD45A,CBX5,BRD9,BRD8,BCOR,,,,,,BCL11A,,BLMH,CUL4B,,,,,,,,,,,,,SQSTM1,,EFNA1,LPAR6,MDM2,MDM2,MDM2
KIR2DL5A,HOXB2,GALNT12,SEMA4F,HIF1A,,,,,C6ORF62,ASF1A,,,,BCOR,CGGBP1,C17ORF82,SAFB2,ARHGAP6,ASTN1,GPX3,FKRP,GNPTAB,GAL,CBX7,BRDT,BRD9,BCORL1,,,,,,BCL2,,BRAP,CUL5,,,,,,,,,,,,,PTX3,,EGR1,LY6E,NMB,NMB,NMB
